Vehicle,Date/Time,Location,Latitude,Longitude,Speed (mph),Bearing (°),Odometer (mi),Total Fuel (gal),Total Engine Hours,Type
1640,4/5/2024  2:01 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,0,232.27,343284.1,7.0,3.65,Engine start
1640,4/5/2024  2:02 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,0,232.27,343284.1,7.03,3.67,Breadcrumb
1640,4/5/2024  2:03 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,0,232.27,343284.1,7.05,3.7,Breadcrumb
1640,4/5/2024  2:04 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,0,232.27,343284.1,7.07,3.72,Breadcrumb
1640,4/5/2024  2:05 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,2.7,232.27,343284.1,7.09,3.74,Breadcrumb
1640,4/5/2024  2:05 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,5.0,232.27,343284.18,7.1,3.74,Vehicle moving
1640,4/5/2024  2:05 PM,"5220 W 700 South, Salt Lake City, UT 84104",40.7558947,-112.0157756,6.1,232.27,343284.18,7.1,3.74,Breadcrumb
1640,4/5/2024  2:06 PM,"5280 700 South, Salt Lake City, UT 84104",40.7553952,-112.0156546,10.9,188.84,343284.21,7.11,3.74,Breadcrumb
1640,4/5/2024  2:06 PM,"5280 700 South, Salt Lake City, UT 84104",40.7550067,-112.0156893,6.1,192.33,343284.24,7.11,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5278 700 South, Salt Lake City, UT 84104",40.7549576,-112.0157029,4.8,191.67,343284.25,7.12,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5278 700 South, Salt Lake City, UT 84104",40.7549576,-112.0157029,5.8,191.67,343284.25,7.12,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5264 700 South, Salt Lake City, UT 84104",40.7548563,-112.016005,10.8,277.46,343284.26,7.12,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5252 700 South, Salt Lake City, UT 84104",40.7548638,-112.0162524,17.6,270.37,343284.27,7.13,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5236 700 South, Salt Lake City, UT 84104",40.7548653,-112.0165904,26.3,270.41,343284.29,7.14,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5210 700 South, Salt Lake City, UT 84104",40.7548677,-112.0171014,32.4,270.0,343284.32,7.15,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5298 700 South, Salt Lake City, UT 84104",40.7548694,-112.0175107,38.6,270.64,343284.34,7.16,3.75,Breadcrumb
1640,4/5/2024  2:06 PM,"5296 700 South, Salt Lake City, UT 84104",40.7548634,-112.0186664,43.7,269.31,343284.4,7.17,3.76,Breadcrumb
1640,4/5/2024  2:06 PM,"5292 700 South, Salt Lake City, UT 84104",40.754902,-112.0203692,40.7,279.39,343284.49,7.18,3.76,Breadcrumb
1640,4/5/2024  2:06 PM,"700 South, Salt Lake City, UT",40.7550528,-112.0210683,40.1,291.41,343284.53,7.18,3.76,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559326,-112.0237487,33.8,280.63,343284.68,7.19,3.76,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559789,-112.0242688,26.8,273.25,343284.71,7.19,3.76,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559848,-112.0245656,17.4,270.75,343284.72,7.19,3.76,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559877,-112.0247115,9.3,272.35,343284.73,7.19,3.76,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559906,-112.0247943,4.6,273.89,343284.74,7.19,3.76,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559916,-112.0248141,0,275.01,343284.74,7.19,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559916,-112.0248141,0,275.01,343284.74,7.19,3.77,Vehicle stopped
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559916,-112.0248141,5.6,275.01,343284.74,7.2,3.77,Vehicle moving
1640,4/5/2024  2:07 PM,"700 South, Salt Lake City, UT",40.7559916,-112.0248141,7.4,275.01,343284.74,7.2,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"641 5600 West, Salt Lake City, UT 84104",40.7561351,-112.0249477,10.1,352.45,343284.75,7.2,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"629 5600 West, Salt Lake City, UT 84104",40.7563453,-112.0249404,16.4,1.44,343284.76,7.21,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"610 5600 West, Salt Lake City, UT 84104",40.7566726,-112.0249407,26.0,357.89,343284.79,7.22,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"588 5600 West, Salt Lake City, UT 84104",40.7570583,-112.0249702,31.8,356.76,343284.81,7.23,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"571 5600 West, Salt Lake City, UT 84104",40.7573425,-112.02498,40.0,359.43,343284.83,7.24,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"540 5600 West, Salt Lake City, UT 84104",40.7578846,-112.0249849,43.9,359.95,343284.87,7.25,3.77,Breadcrumb
1640,4/5/2024  2:07 PM,"490 5600 West, Salt Lake City, UT 84104",40.7587529,-112.0249928,48.9,359.82,343284.93,7.26,3.78,Breadcrumb
1640,4/5/2024  2:08 PM,"N 5600 West, Salt Lake City, UT 84122",40.7645213,-112.0250246,50.9,0.79,343285.33,7.3,3.78,Breadcrumb
1640,4/5/2024  2:08 PM,"229 5600 West, Salt Lake City, UT 84104",40.7667055,-112.0250126,43.7,359.21,343285.48,7.31,3.79,Breadcrumb
1640,4/5/2024  2:08 PM,"N 5600 West, Salt Lake City, UT 84122",40.7670744,-112.0250169,36.3,359.33,343285.5,7.31,3.79,Breadcrumb
1640,4/5/2024  2:08 PM,"182 5600 West, Salt Lake City, UT 84104",40.7672393,-112.0250178,27.4,359.62,343285.52,7.31,3.79,Breadcrumb
1640,4/5/2024  2:08 PM,"N 5600 West, Salt Lake City, UT 84122",40.7674637,-112.0250201,21.1,359.44,343285.54,7.31,3.79,Breadcrumb
1640,4/5/2024  2:08 PM,"N 5600 West, Salt Lake City, UT 84122",40.7677182,-112.0250204,15.6,359.73,343285.55,7.31,3.79,Breadcrumb
1640,4/5/2024  2:08 PM,"N 5600 West, Salt Lake City, UT 84122",40.7678466,-112.0250206,10.5,359.83,343285.56,7.31,3.79,Breadcrumb
1640,4/5/2024  2:08 PM,"N 5600 West, Salt Lake City, UT 84122",40.7680106,-112.0250192,5.1,0.07,343285.57,7.31,3.79,Breadcrumb
1640,4/5/2024  2:09 PM,"N 5600 West, Salt Lake City, UT 84122",40.7680543,-112.0250192,2.1,359.2,343285.57,7.31,3.79,Breadcrumb
1640,4/5/2024  2:09 PM,"N 5600 West, Salt Lake City, UT 84122",40.7680543,-112.0250192,0,359.2,343285.57,7.31,3.8,Vehicle stopped
1640,4/5/2024  2:09 PM,"N 5600 West, Salt Lake City, UT 84122",40.7680543,-112.0250192,5.7,359.2,343285.58,7.32,3.8,Vehicle moving
1640,4/5/2024  2:09 PM,"N 5600 West, Salt Lake City, UT 84122",40.7680543,-112.0250192,7.5,359.2,343285.58,7.32,3.8,Breadcrumb
1640,4/5/2024  2:09 PM,"N 5600 West, Salt Lake City, UT 84122",40.7683019,-112.0250156,12.3,359.14,343285.59,7.32,3.8,Breadcrumb
1640,4/5/2024  2:09 PM,"5600 West, Salt Lake City, UT 84122",40.7685607,-112.0250131,17.3,0.18,343285.61,7.33,3.8,Breadcrumb
